Epoch, Color Log Likelihood, Shape Loglikehood, Object Loglikelihood
289,-21923.6,-14832.8,-14394.8
290,-21928.5,-14790.1,-14388.9
291,-21918.5,-14578.4,-14349.1
292,-21919.4,-14585.9,-14338.9
293,-21914.6,-14484.4,-14282.9
294,-21921.4,-14657,-14343.8
295,-21920.7,-14686.3,-14357.9
296,-21919.1,-14566.7,-14336.6
297,-21919.3,-14705.9,-14368.3
298,-21921.7,-14639,-14344.5
299,-21919.9,-14610.8,-14357.9
300,-21922.3,-14649.5,-14346.1
301,-21918.9,-14740.1,-14406
302,-21920.4,-14624,-14345.5
303,-21913.6,-14509.3,-14305.8
304,-21917.2,-14557.6,-14327.4
305,-21917.8,-14768.5,-14372.4
306,-21918.2,-14540.6,-14304.9
307,-21917.2,-14736.4,-14392.4
308,-21919.9,-14682.9,-14360.8
309,-21910.8,-14539.6,-14346.7
310,-21919.7,-14632.4,-14369.7
311,-21915.5,-14584.6,-14364
312,-21919.3,-14615.9,-14388.5
313,-21916,-14639,-14400.1
314,-21914.5,-14555.2,-14357.6
315,-21913,-14592.9,-14357
316,-21917,-14760.2,-14407.7
317,-21915.1,-14646.5,-14406.7
318,-21916.4,-14663.5,-14378.6
319,-21910.1,-14631.5,-14418.3
320,-21913.3,-14569.6,-14374.8
321,-21914.6,-14791.7,-14414.1
322,-21913.4,-14601,-14356.2
323,-21911.9,-14706.1,-14412.8
324,-21916.5,-14628.5,-14353
325,-21915.1,-14657.5,-14367.3
326,-21916.9,-14715,-14374.7
327,-21915.3,-14705.4,-14396.9
328,-21917.6,-14622.8,-14362.8
329,-21910.8,-14539.3,-14356.5
330,-21915.6,-14602.5,-14331.7
331,-21915,-14762.1,-14399.4
332,-21915.4,-14606.8,-14339.3
333,-21912.8,-14605.1,-14353.1
334,-21914.6,-14544.2,-14309.9
335,-21911,-14702.1,-14391.2
336,-21919.5,-14802.4,-14399.4
337,-21909.6,-14536,-14326
338,-21913.3,-14600.6,-14324.4
339,-21906.6,-14536,-14335.6
340,-21914.4,-14789.7,-14377.9
341,-21912.7,-14778,-14407.8
342,-21910.8,-14539.9,-14312.9
343,-21907.4,-14553.2,-14356.1
344,-21912.3,-14686.9,-14391.6
345,-21912,-14749.2,-14381.2
346,-21912.3,-14633.9,-14393.4
347,-21907.4,-14598.4,-14390.9
348,-21911,-14527.6,-14316
349,-21907.1,-14590.1,-14378.1
350,-21911.5,-14663.6,-14387.1
351,-21907.2,-14613.4,-14375.1
352,-21909.4,-14622.9,-14381.2
353,-21905,-14577.7,-14346.2
354,-21908.3,-14534.2,-14331.1
355,-21909.6,-14748,-14394.8
356,-21912.1,-14783.3,-14406.6
357,-21907.9,-14593.3,-14371.1
358,-21912.5,-14702.9,-14377.1
359,-21905.6,-14570.2,-14349.8
360,-21912.9,-14604.2,-14341.3
361,-21905.5,-14574.3,-14330.3
362,-21909.2,-14672.6,-14353.6
363,-21907.6,-14745.8,-14361.8
364,-21909.3,-14682.2,-14313.1
365,-21904.2,-14585.9,-14326.5
366,-21906,-14652.1,-14320.2
367,-21904.9,-14647.8,-14326.4
368,-21909.3,-14692,-14384.5
369,-21900.6,-14565.6,-14380.8
370,-21907.1,-14692.4,-14421.1
371,-21905.6,-14587.7,-14363.8
372,-21904.2,-14544.6,-14317.9
373,-21905.9,-14588.8,-14302.6
374,-21904.8,-14572.3,-14329.8
375,-21905.9,-14666.2,-14336.9
376,-21907.4,-14550.3,-14287.3
377,-21903.2,-14636.3,-14357.1
378,-21912.4,-14660.3,-14320.5
379,-21904.2,-14544.2,-14321.2
380,-21906.3,-14590.8,-14331.2
381,-21901.9,-14711.9,-14429.6
382,-21908.2,-14624.1,-14369.4
383,-21904,-14698.1,-14394.3
384,-21908.4,-14728.4,-14398.8
385,-21902.8,-14576.8,-14346.4
386,-21903.5,-14594.6,-14360.4
387,-21900.2,-14537.9,-14316.2
388,-21903.6,-14582.2,-14348.4
389,-21901.9,-14662,-14378.7
390,-21906.1,-14650.4,-14328.6
391,-21901.9,-14641.3,-14339.2
392,-21906.7,-14592.4,-14300.1
393,-21899.5,-14567.9,-14356.1
394,-21905.9,-14697.3,-14413.6
395,-21903.7,-14656.5,-14395.5
396,-21905.9,-14812.2,-14404
397,-21905.1,-14817.2,-14419.4
398,-21909.8,-14781.7,-14388.5
399,-21900.3,-14470.4,-14260.4
400,-21901.9,-14575.7,-14319.9
401,-21900.2,-14615.7,-14327.2
402,-21898.5,-14534.8,-14301.3
403,-21900.2,-14558,-14324.2
